country,track.id,track name,popularity,danceability,energy,acousticness,liveness,tempo
Bolivia,40vzZFWG1h60TdZPuxuX3Y,Por el Resto de Tu Vida,68.0,0.781,0.662,0.355,0.161,91.999
Brazil,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,0.707,0.681,0.0632,0.0322,117.999
Brazil,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",97.0,0.778,0.632,0.274,0.0915,122.104
Brazil,4Dvkj6JhhA12EX05fT7y2e,As It Was,89.0,0.52,0.731,0.342,0.311,173.93
Brazil,2K9kZpwD2CzTa6iiSYYOoO,Leão,87.0,0.743,0.865,0.449,0.297,129.999
Brazil,4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,86.0,0.651,0.947,0.305,0.92,158.046
Brazil,1597vvneWf0zoQrg2D8yH6,Evoque Prata,85.0,0.872,0.519,0.306,0.276,86.768
Brazil,4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,83.0,0.889,0.742,0.299,0.066,130.089
Brazil,3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,82.0,0.569,0.941,0.401,0.891,73.776
Brazil,1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,81.0,0.585,0.6,0.117,0.0504,160.635
Brazil,0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),80.0,0.767,0.684,0.508,0.0417,95.001
Brazil,2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,79.0,0.504,0.827,0.353,0.101,75.96
Brazil,5vC8UAOHeG95ehRzZChniB,Ai Preto,78.0,0.953,0.57,0.537,0.0993,129.947
Brazil,2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,77.0,0.778,0.804,0.462,0.834,122.074
Brazil,0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,75.0,0.697,0.588,0.365,0.109,151.937
Brazil,6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,72.0,0.732,0.831,0.554,0.903,123.942
Brazil,2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,71.0,0.876,0.563,0.541,0.348,86.649
Brazil,5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,70.0,0.585,0.465,0.326,0.0714,85.672
Brazil,1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,68.0,0.7,0.914,0.168,0.761,149.918
Brazil,5geU4byUA1hnQofQPOsPDS,Sereia,67.0,0.651,0.661,0.276,0.105,114.528
Brazil,51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,65.0,0.509,0.935,0.108,0.907,158.927
Brazil,4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,59.0,0.551,0.87,0.406,0.864,99.934
Brazil,3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,56.0,0.676,0.824,0.382,0.529,118.071
Canada,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,0.707,0.681,0.0632,0.0322,117.999
Canada,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",97.0,0.778,0.632,0.274,0.0915,122.104
Canada,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),95.0,0.715,0.62,0.417,0.0822,97.95
Canada,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),94.0,0.561,0.965,0.00383,0.371,128.04
Canada,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,93.0,0.637,0.643,0.13,0.142,97.008
Canada,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),92.0,0.801,0.806,0.382,0.114,106.999
Canada,73vIOb4Q7YN6HeJTbscRx5,Miss You,91.0,0.587,0.742,0.0128,0.146,145.007
Canada,1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,90.0,0.571,0.544,0.453,0.322,132.052
Canada,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,89.0,0.78,0.689,0.0368,0.0698,115.042
Canada,5odlY52u43F5BjByhxg7wg,golden hour,88.0,0.515,0.593,0.653,0.25,94.467
Canada,6dgUya35uo964z7GZXM07g,Nonsense,87.0,0.74,0.697,0.0268,0.224,138.992
Canada,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),86.0,0.733,0.67,0.121,0.121,100.964
Canada,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,85.0,0.733,0.436,0.258,0.157,96.985
Canada,02MWAaffLxlfxAUY7c5dvx,Heat Waves,84.0,0.761,0.525,0.44,0.0921,80.87
Canada,54ipXppHLA8U4yqpOFTUhr,Bones,83.0,0.772,0.75,0.0201,0.074,114.061
Canada,6UN73IYd0hZxLi8wFPMQij,Players,82.0,0.954,0.516,0.03,0.0504,105.001
Canada,4686eQ81DEswHa90bcdlC9,Rock and A Hard Place,81.0,0.582,0.568,0.577,0.105,121.991
Canada,3RKjTYlQrtLXCq5ncswBPp,"Hey, Mickey!",79.0,0.912,0.507,0.579,0.167,134.978
Canada,4sx6NRwL6Ol3V6m9exwGlQ,Love Again,77.0,0.662,0.398,0.716,0.111,107.001
Canada,48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,76.0,0.608,0.745,0.0226,0.0942,102.025
Canada,567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),75.0,0.591,0.764,0.0383,0.103,169.928
Canada,6G1Mz5yMgn0ydOlIvTrZ65,Run Away to Mars,73.0,0.554,0.38,0.526,0.213,118.925
Canada,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),63.0,0.712,0.463,0.011,0.301,131.199
Canada,7jtQIBanIiJOMS6RyCx6jZ,Another Love,62.0,0.442,0.538,0.717,0.09,122.758
Chile,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,0.707,0.681,0.0632,0.0322,117.999
Chile,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",97.0,0.778,0.632,0.274,0.0915,122.104
Chile,5ww2BF9slyYgNOk37BlC4u,La Bachata,94.0,0.835,0.679,0.583,0.218,124.98
Chile,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",93.0,0.621,0.782,0.0125,0.23,128.033
