country,track.id,track name,popularity,date
Brazil,2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),79.0,2023-02-28
Brazil,2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,78.0,2023-02-28
Brazil,5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,77.0,2023-02-28
Brazil,29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,76.0,2023-02-28
Brazil,4XpB5oBPuygG2Gbpi3PUhu,Cria Da Ivete - Ao Vivo,74.0,2023-02-28
Brazil,2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,71.0,2023-02-28
Brazil,5geU4byUA1hnQofQPOsPDS,Sereia,69.0,2023-02-28
Brazil,4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,65.0,2023-02-28
Brazil,4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,61.0,2023-02-28
Canada,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28
Canada,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),94.0,2023-02-28
Canada,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),92.0,2023-02-28
Canada,78Sw5GDo6AlGwTwanjXbGh,Here With Me,91.0,2023-02-28
Canada,65FftemJ1DbbZ45DUfHJXE,OMG,90.0,2023-02-28
Canada,0QHEIqNKsMoOY5urbzN48u,Made You Look,89.0,2023-02-28
Canada,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,88.0,2023-02-28
Canada,5odlY52u43F5BjByhxg7wg,golden hour,87.0,2023-02-28
Canada,2GAhgAjOhEmItWLfgisyOn,Low,86.0,2023-02-28
Canada,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),85.0,2023-02-28
Canada,54ipXppHLA8U4yqpOFTUhr,Bones,83.0,2023-02-28
Canada,4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,82.0,2023-02-28
Canada,4686eQ81DEswHa90bcdlC9,Rock and A Hard Place,81.0,2023-02-28
Canada,3cBsEDNhFI9E82vPj3kvi3,Wasted On You,80.0,2023-02-28
Canada,3qXsX3mYSsD1DmAvc3PE3N,Love You Anyway,79.0,2023-02-28
Canada,48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,77.0,2023-02-28
Canada,5mHdCZtVyb4DcJw8799hZp,Escapism.,76.0,2023-02-28
Canada,6G1Mz5yMgn0ydOlIvTrZ65,Run Away to Mars,72.0,2023-02-28
Canada,1zv3WFUbZ5vPxFq9I2jAU1,We Found Love,59.0,2023-02-28
Canada,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,39.0,2023-02-28
Chile,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",96.0,2023-02-28
Chile,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28
Chile,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28
Chile,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,89.0,2023-02-28
Chile,54ELExv56KCAB4UP9cOCzC,Gato de Noche,88.0,2023-02-28
Chile,5Eax0qFko2dh7Rl2lYs3bx,Efecto,87.0,2023-02-28
Chile,1DxEbt6OSbrkRthk6pjZue,MERCHO,85.0,2023-02-28
Chile,4FAKtPVycI4DxoOHC01YqD,Yandel 150,84.0,2023-02-28
Chile,0Iozrbed8spxoBnmtBMshO,WANDA,83.0,2023-02-28
Chile,1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín,82.0,2023-02-28
Chile,0T2pB7P1VdXPhLdQZ488uH,Normal,81.0,2023-02-28
Chile,0DWdj2oZMBFSzRsi2Cvfzf,TQG,80.0,2023-02-28
Chile,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,78.0,2023-02-28
Chile,7FlQk2gJ6TBrHHiidvdR2O,MAMIII,76.0,2023-02-28
Chile,66vWfpNGNT4y6nPdW5WMtj,Llamame Bebe,75.0,2023-02-28
Chile,38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),74.0,2023-02-28
Chile,5uq1p5tvZhSTRpZZTwuQPj,LOKOTRON REMIX,72.0,2023-02-28
