country,track.id,track name,popularity,date,danceability,energy,acousticness,liveness,tempo
Uruguay,5ww2BF9slyYgNOk37BlC4u,La Bachata,92.0,2023-02-28,0.835,0.679,0.583,0.218,124.98
Argentina,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Bolivia,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Chile,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Colombia,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Costa Rica,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Ecuador,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Global,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Guatemala,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Italy,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
Mexico,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",91.0,2023-02-28,0.621,0.782,0.0125,0.23,128.033
